"Qty";"Value";"Device";"Package";"Parts";"Description";"DESIGNER";"PROD_ID";"REV";"SF_ID";"SF_SKU";"SPICEPREFIX";"VALUE";"VERSION";
"2";"";"CONN_025MM";"SCREWTERMINAL-5MM-2";"DIRECT, EXT";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"PRT-08432";"";"";"";
"3";"";"CONN_08X2_HEADER";"2X8";"3V3, 5V, I2C";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"1";"1000uF";"1000UF-RADIAL-5MM-25V-20%";"CPOL-RADIAL-5MM-10MM";"C1";"1,000µF/1mF ceramic capacitors";"";"CAP-09538";"";"";"";"";"1mF";"";
"2";"100uF";"CPOL-USE5-8.5";"E5-8,5";"C2, C3";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"C";"";"";
"2";"220";"220OHM-0603-1/10W-1%";"0603";"R1, R2";"220Ω resistor";"";"RES-07861";"";"";"";"";"220";"";
"1";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"FRAME1";"Schematic Frame - Letter";"K. Isom / WNTRMUTE ROBOTICS";"";"4.0";"";"";"";"";"4.0";
"1";"KILLSW";"SWITCH-SPDT-PTH-11.6X4.0MM-LOCK";"SWITCH_SPDT_PTH_11.6X4.0MM_LOCK";"S1";"Single Pole, Double Throw (SPDT) Switch";"";"SWCH-08261";"";"";"COM-00102 ";"";"";"";
"1";"LD33V";"V_REG_LD1117VXX";"78XXL";"VREG_3V3";"LD1117VXX voltage regulator. We carry the 3.3V version (COM-00526) in TO-220 package.";"";"";"";"";"";"";"";"";
"1";"LM7805";"V_REG_78XX-TO-220";"TO-220-ALT";"VREG_5V";"Voltage Regulator";"";"VREG-08450";"";"COM-00107";"";"";"";"";
"1";"MOTOKILL";"SWITCH-SPDT-PTH-11.6X4.0MM-LOCK";"SWITCH_SPDT_PTH_11.6X4.0MM_LOCK";"S2";"Single Pole, Double Throw (SPDT) Switch";"";"SWCH-08261";"";"";"COM-00102 ";"";"";"";
"1";"MOTOR";"LED3MM";"LED_3MM";"D1";"LED (Generic)";"";"DIO-08794";"";"";"";"";"";"";
"1";"PWR";"LED3MM";"LED_3MM";"D2";"LED (Generic)";"";"DIO-08794";"";"";"";"";"";"";
